Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills,Domain
Build a Table Layout App in Android Studio,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/build-table-layout-app-android-studio,"In this course you will build an Android app with a Table Layout in Android Studio with the java programming language and will be given an explanation of table layout.  This app will have a piece of text asking the user to select their month of birth from a spinner (a type of drop down menu where the user selects from a set of options). There will be an image (ImageView) next to the spinner which will change to match whichever month the user selects. Beneath this the user will be asked to use a special type of  button (ToggleButton) to indicate if they prefer cats or dogs.  There will be an image (ImageView) next to the button that will change to match the animal which the user selects. Finally, the user will be asked to input a number between one and nine in an input box (EditText). Beneath the input box (EditText) will be an image (ImageView) that will change to match the number input by the user or to an image with ""Do not use"" on it if the user inputs something that is not a numerical digit between one and nine (1, 2, 3, 4, 5, 6, 7, 8, 9). When the user closes the app the program will remember the choices made by the user in their previous visit. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",android studio  upload  matching  java (software platform)  Java Programming  Android Development  drop-down list  Software Engineering  text box  Computer Programming computer-science mobile-and-web-development,androiddeveloper
Design Patterns,University of Alberta,Advanced,4.6,https://www.coursera.org/learn/design-patterns,"This course extends object-oriented analysis and design by incorporating design patterns to create interactive applications. Through a survey of established design patterns, you will gain a foundation for more complex software applications. Finally, you will identify problematic software designs by referencing a catalog of code smells.  You will be challenged in the Capstone Project to redesign an existing Java-based Android application to implement a combination of design patterns. You will also critique a given Java codebase for code smells.  After completing this course, you will be able to:  � Demonstrate how to use design patterns to address user interface design issues.\t � Identify the most suitable design pattern to address a given application design problem.\t � Apply design principles (e.g., open-closed, dependency inversion, least knowledge).\t � Critique code by identifying and refactoring anti-patterns. � Apply the model-view-controller architectural pattern.",architectural pattern  code smell  software  code refactoring  design pattern  unified modeling language  software design  chain of responsibility  factory method pattern  software design pattern computer-science software-development,androiddeveloper
Java for Android,Vanderbilt University,Intermediate,4.4,https://www.coursera.org/learn/java-for-android,"This MOOC teaches you how to program core features and classes from the Java programming language that are used in Android, which is the dominant platform for developing and deploying mobile device apps.   In particular, this MOOC covers key Java programming language features that control the flow of execution through an app (such as Java�s various looping constructs and conditional statements), enable access to structured data (such as Java's built-in arrays and common classes in the Java Collections Framework, such as ArrayList and HashMap), group related operations and data into classes and interfaces (such as Java's primitive and user-defined types, fields, methods, generic parameters, and exceptions), customize the behavior of existing classes via inheritance and polymorphism (such as subclassing and overriding virtual methods). Learners will apply these Java features in the context of core Android components (such as Activities and basic UI elements) by applying common tools (such as Android Studio) needed to develop Java programs and useful Android apps.    Learners will work on several hands-on projects throughout the MOOC, i.e., each week will require learners to write solutions to programming assignments that reinforce the material covered in the lecture videos. There will be roughly 4-6 hours of student engagement time per week, including video lectures, quizzes, and programming assignments.",java syntax  java (software platform)  generics in java  software  Android Development  Computer Programming  syntax  java collections framework  Java Programming  android studio computer-science mobile-and-web-development,androiddeveloper
"Android App Components - Services, Local IPC, and Content Providers",Vanderbilt University,Advanced,4.2,https://www.coursera.org/learn/androidapps-2,"This 4 week MOOC builds upon the core Android app components and concurrency frameworks covered in Course 2 by focusing on started and bound services, local inter-process communication (IPC), and content providers. Case study apps will be examined from multiple perspectives to learn how to program these app components using Android's material design paradigm. Students will work incrementally on a hands-on project involving a material design-based RSS reader app. Each week you will add additional capabilities to the project, based on material covered in the lecture videos. You'll spend roughly 4 hours per week watching video lectures, taking quizzes, and programming assignments with Java and Android.",sqlite  concurrent computing  model view presenter  service life  Java Programming  Mobile Development  inter-process communication  android studio  Computer Programming  Android Development computer-science mobile-and-web-development,androiddeveloper
"Capstone MOOC for ""Android App Development""",Vanderbilt University,Advanced,2.9,https://www.coursera.org/learn/aadcapstone,"The Capstone project integrates material from throughout the Android App Development Specialization to exercise and assess the ability of learners to create an interesting Android app. Learners will apply knowledge and skills learned in previous MOOCs in this Specialization, including Java programming features; Android activity, broadcast receiver, service, and content provider (plus SQLite) components; and unit, integration, and user interface testing. The project itself is similar in scope to previous assignments in the earlier MOOCs in the Specialization.  However, it is intentionally designed to enable learners to create a customized app that demonstrates their creativity and mastery of the Specialization topics.",stack (abstract data type)  Mobile Development  Software Engineering  Android Development  android studio  Computer Programming  Mechanical Engineering  Java Programming  Operating Systems  electronics computer-science mobile-and-web-development,androiddeveloper
"Android App Components - Intents, Activities, and Broadcast Receivers",Vanderbilt University,Advanced,4,https://www.coursera.org/learn/androidapps,"This 4 week MOOC builds upon the overview of Java and Android covered in Course 1 by delving deeper into core Android app components, such as intents, activities, and broadcast receivers.  You will learn by example how to program these core Android components together with Android concurrency frameworks and basic Java file I/O classes (such as File and InputStream) and Android storage mechanisms (such as Shared Preferences). You'll also learn how to use the Git source code management system. Throughout this MOOC you'll work incrementally on a project involving downloading, storing, and display images from remote websites. Each week you will add additional capabilities to the project, based on material covered in the lecture videos. You'll spend roughly 4 hours per week watching video lectures, taking quizzes, and programming assignments with Java and Android.",Computer Programming  software  Operating Systems  android studio  Broadcast  Java Programming  concurrent computing  Software Engineering  Android Development  Mobile Development computer-science mobile-and-web-development,androiddeveloper
Build a Simple App in Android Studio with Java,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/build-app-android-studio-java,"In this beginner project we will give you an introduction to using Android Studio and will facilitate you gaining the confidence and knowledge to begin your journey in the world of Android Development.  By the end of this course you will have built an app in Android Studio using Java and will have uploaded your APK to Appetize. You will learn how to test your app on the Appetize platform. In this app you will build buttons, a TextView, an EditText, and dialog boxes.  We will also cover using AVD Manager to create virtual devices that could be used to test applications in Android Studio.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",Java Programming  java (software platform)  Mobile Development  software  Python Programming  Software Engineering  Android Development  project  Computer Programming  android studio computer-science mobile-and-web-development,androiddeveloper
Build A Google Firebase Web App (Part II),Coursera Project Network,Advanced,4.6,https://www.coursera.org/learn/build-firebase-webapp-2,"This 2 hour-long guided project is part 2 of the project ""Build a Google Firebase Web App"". In this project, we focus on user authentication and data security rules.  At the end of this course, you will be able to describe and apply Firebase user authentication and write data security rules to protect your Firebase data.  This course requires basic experience with Firebase and intermediate to advance knowledge of JavaScript. Although it is not a prerequisite, I would strongly recommend you take part I of this class first if you have not already done so.",authentication  web  project  interfaces  security  project mine  javascript framework  Javascript  Writing  web application computer-science mobile-and-web-development,androiddeveloper
Software Architecture,University of Alberta,Advanced,4.3,https://www.coursera.org/learn/software-architecture,"The way that software components � subroutines, classes, functions, etc. �  are arranged,  and the interactions between them, is called architecture. In this course you will study the ways these architectures are represented, both in UML and other visual tools. We will introduce the most common architectures, their qualities, and tradeoffs. We will talk about how architectures are evaluated, what makes a good architecture, and an architecture can be improved. We'll also talk about how the architecture touches on the process of software development.  In the Capstone Project you will document a Java-based Android application with UML diagrams and analyze evaluate the application�s architecture using the Architecture Tradeoff Analysis Method (ATAM).  After completing this course, you will be able to:  � Compare and contrast the components, connections, protocols, topologies, constraints, tradeoffs, and variations of different types of architectural styles used in the design of applications and systems (e.g., main program and subroutine, object-oriented, interpreters, pipes and filters, database centric, event-based).\t � Describe the properties of layered and n-tier architectures.\t � Create UML ipackage, component, and deployment diagrams to express the architectural structure of a system.\t � Explain the behaviour of a system using UML activity diagrams.\t � Document a multi-application system with a layered architecture.",architecture tradeoff analysis method  design pattern  software  non-functional requirement  unified modeling language  pipeline (software)  Software Architecture  capgemini  software design  architecture computer-science software-development,androiddeveloper
Build a Firebase Android Application,Coursera Project Network,Advanced,4.3,https://www.coursera.org/learn/firebase-android-app,"This 1.5 hours class is the Android counterpart of the class Build a Google Firebase Web Application. Firebase is used by many major companies and websites to deliver world-class, real time data synchronization across the Internet on different platforms, like iOS, web and Android. In this class, you will learn about the data structure of Firebase, how to set one up, as well as how to develop Android mobile applications in Java that interact with Firebase.  At the end of this course, you will be well versed and prepared to develop powerful Android Firebase applications in Java.  This class requires basic to intermediate experience in Android application development in Java as a prerequisite.",NoSQL  Data Structures  Android Development  Mobile Development  mobile app  deployment environment  Application Development  iOS Development  Databases  web information-technology cloud-computing,androiddeveloper
